tool,tool_type,catalog_desc,tool_material,diameter,corner_radius,length,flute_length,point_angle,point_length,taper_angle,num_flutes
UGT0301_006,Drilling Tool,Twist Drill 16 mm,"PVD (TI,AL)N",16.0,0.0,143.0,120.0,118.0,4.80689,,2.0
UGT0301_007,Drilling Tool,Twist Drill 20 mm,"PVD (TI,AL)N",20.0,0.0,163.0,140.0,118.0,6.00861,,2.0
UGT0301_025,Drilling Tool,Twist Drill 6 mm,"PVD (TI,AL)N",6.0,0.0,59.0,57.0,118.0,1.80258,,2.0
UGT0301_026,Drilling Tool,Twist Drill 7.5 mm,"PVD (TI,AL)N",7.5,0.0,71.0,69.0,118.0,2.25323,,2.0
UGT0301_028,Drilling Tool,Twist Drill 8 mm,"PVD (TI,AL)N",8.0,0.0,78.0,76.0,118.0,2.40344,,2.0
UGT0301_032,Drilling Tool,Twist Drill 10 mm,"PVD (TI,AL)N",10.0,0.0,89.0,87.0,118.0,3.0043,,2.0
UGT0301_041,Drilling Tool,Twist Drill 15 mm,"PVD (TI,AL)N",15.0,0.0,137.0,114.0,118.0,4.50645,,2.0
UGT0301_044,Drilling Tool,Twist Drill 17 mm,"PVD (TI,AL)N",17.0,0.0,148.0,125.0,118.0,5.10731,,2.0
UGT0301_046,Drilling Tool,Twist Drill 18 mm,"PVD (TI,AL)N",18.0,0.0,153.0,130.0,118.0,5.40775,,2.0
UGT0301_048,Drilling Tool,Twist Drill 19 mm,"PVD (TI,AL)N",19.0,0.0,158.0,135.0,118.0,5.70818,,2.0
UGT0301_050,Drilling Tool,Twist Drill 20.5 mm,"PVD (TI,AL)N",20.5,0.0,168.0,145.0,118.0,6.15882,,2.0
UGT0301_051,Drilling Tool,Twist Drill 21 mm,"PVD (TI,AL)N",21.0,0.0,168.0,145.0,118.0,6.30904,,2.0
UGT0301_052,Drilling Tool,Twist Drill 21.5 mm,"PVD (TI,AL)N",21.5,0.0,173.0,150.0,118.0,6.45925,,2.0
UGT0301_053,Drilling Tool,Twist Drill 22 mm,"PVD (TI,AL)N",22.0,0.0,173.0,150.0,118.0,6.60947,,2.0
UGT0301_054,Drilling Tool,Twist Drill 22.5 mm,"PVD (TI,AL)N",22.5,0.0,178.0,155.0,118.0,6.75968,,2.0
UGT0301_055,Drilling Tool,Twist Drill 23 mm,"PVD (TI,AL)N",23.0,0.0,178.0,155.0,118.0,6.9099,,2.0
UGT0301_056,Drilling Tool,Twist Drill 23.5 mm,"PVD (TI,AL)N",23.5,0.0,182.0,155.0,118.0,7.06011,,2.0
UGT0301_057,Drilling Tool,Twist Drill 24 mm,"PVD (TI,AL)N",24.0,0.0,187.0,160.0,118.0,7.21033,,2.0
UGT0301_058,Drilling Tool,Twist Drill 24.5 mm,"PVD (TI,AL)N",24.5,0.0,187.0,160.0,118.0,7.36054,,2.0
UGT0301_059,Drilling Tool,Twist Drill 25 mm,"PVD (TI,AL)N",25.0,0.0,187.0,160.0,118.0,7.51076,,2.0
UGT0301_175,Drilling Tool,Twist Drill 5.1 mm,"PVD (TI,AL)N",5.1,0.0,50.467,50.0,118.0,1.53219,,2.0
UGT0301_176,Drilling Tool,Twist Drill 5.2 mm,"PVD (TI,AL)N",5.2,0.0,50.437,50.0,118.0,1.56224,,2.0
UGT0301_177,Drilling Tool,Twist Drill 5.3 mm,"PVD (TI,AL)N",5.3,0.0,50.407,50.0,118.0,1.59228,,2.0
UGT0301_178,Drilling Tool,Twist Drill 5.4 mm,"PVD (TI,AL)N",5.4,0.0,55.377,55.0,118.0,1.62232,,2.0
UGT0301_179,Drilling Tool,Twist Drill 5.6 mm,"PVD (TI,AL)N",5.6,0.0,55.317,55.0,118.0,1.68241,,2.0
UGT0301_180,Drilling Tool,Twist Drill 5.7 mm,"PVD (TI,AL)N",5.7,0.0,55.73,55.0,118.0,1.71245,,2.0
UGT0301_181,Drilling Tool,Twist Drill 5.8 mm,"PVD (TI,AL)N",5.8,0.0,55.257,55.0,118.0,1.7425,,2.0
UGT0301_182,Drilling Tool,Twist Drill 5.9 mm,"PVD (TI,AL)N",5.9,0.0,55.671,55.0,118.0,1.77254,,2.0
UGT0301_183,Drilling Tool,Twist Drill 6.1 mm,"PVD (TI,AL)N",6.1,0.0,61.568,61.0,118.0,1.83262,,2.0
UGT0301_184,Drilling Tool,Twist Drill 6.2 mm,"PVD (TI,AL)N",6.2,0.0,61.137,61.0,118.0,1.86267,,2.0
UGT0301_185,Drilling Tool,Twist Drill 6.3 mm,"PVD (TI,AL)N",6.3,0.0,61.508,61.0,118.0,1.89271,,2.0
UGT0301_186,Drilling Tool,Twist Drill 6.4 mm,"PVD (TI,AL)N",6.4,0.0,61.478,61.0,118.0,1.92275,,2.0
UGT0301_187,Drilling Tool,Twist Drill 6.6 mm,"PVD (TI,AL)N",6.6,0.0,61.017,61.0,118.0,1.98284,,2.0
UGT0301_188,Drilling Tool,Twist Drill 6.7 mm,"PVD (TI,AL)N",6.7,0.0,61.3,61.0,118.0,2.01288,,2.0
UGT0301_189,Drilling Tool,Twist Drill 6.8 mm,"PVD (TI,AL)N",6.8,0.0,66.957,66.0,118.0,2.04293,,2.0
UGT0301_190,Drilling Tool,Twist Drill 6.9 mm,"PVD (TI,AL)N",6.9,0.0,66.927,66.0,118.0,2.07297,,2.0
UGT0301_191,Drilling Tool,Twist Drill 7.1 mm,"PVD (TI,AL)N",7.1,0.0,66.866,66.0,118.0,2.13306,,2.0
UGT0301_192,Drilling Tool,Twist Drill 7.2 mm,"PVD (TI,AL)N",7.2,0.0,66.836,66.0,118.0,2.1631,,2.0
UGT0301_193,Drilling Tool,Twist Drill 7.3 mm,"PVD (TI,AL)N",7.3,0.0,66.806,66.0,118.0,2.19314,,2.0
UGT0301_194,Drilling Tool,Twist Drill 7.4 mm,"PVD (TI,AL)N",7.4,0.0,66.77,66.0,118.0,2.22318,,2.0
UGT0301_195,Drilling Tool,Twist Drill 7.6 mm,"PVD (TI,AL)N",7.6,0.0,73.71,73.0,118.0,2.28327,,2.0
UGT0301_196,Drilling Tool,Twist Drill 7.7 mm,"PVD (TI,AL)N",7.7,0.0,73.68,73.0,118.0,2.31331,,2.0
UGT0301_197,Drilling Tool,Twist Drill 7.8 mm,"PVD (TI,AL)N",7.8,0.0,73.65,73.0,118.0,2.34336,,2.0
UGT0301_198,Drilling Tool,Twist Drill 7.9 mm,"PVD (TI,AL)N",7.9,0.0,73.62,73.0,118.0,2.3734,,2.0
UGT0301_199,Drilling Tool,Twist Drill 8.2 mm,"PVD (TI,AL)N",8.2,0.0,72.53,72.0,118.0,2.46353,,2.0
UGT0301_200,Drilling Tool,Twist Drill 8.3 mm,"PVD (TI,AL)N",8.3,0.0,72.506,72.0,118.0,2.49357,,2.0
UGT0301_201,Drilling Tool,Twist Drill 8.4 mm,"PVD (TI,AL)N",8.4,0.0,72.47,72.0,118.0,2.52361,,2.0
UGT0301_202,Drilling Tool,Twist Drill 8.6 mm,"PVD (TI,AL)N",8.6,0.0,80.186,80.0,118.0,2.5837,,2.0
UGT0301_203,Drilling Tool,Twist Drill 8.7 mm,"PVD (TI,AL)N",8.7,0.0,80.157,80.0,118.0,2.61374,,2.0
UGT0301_204,Drilling Tool,Twist Drill 8.8 mm,"PVD (TI,AL)N",8.8,0.0,80.128,80.0,118.0,2.64379,,2.0
UGT0301_205,Drilling Tool,Twist Drill 8.9 mm,"PVD (TI,AL)N",8.9,0.0,78.326,78.0,118.0,2.67383,,2.0
UGT0301_206,Drilling Tool,Twist Drill 9.1 mm,"PVD (TI,AL)N",9.1,0.0,78.266,78.0,118.0,2.73392,,2.0
UGT0301_207,Drilling Tool,Twist Drill 9.2 mm,"PVD (TI,AL)N",9.2,0.0,80.01,80.0,118.0,2.76396,,2.0
UGT0301_208,Drilling Tool,Twist Drill 9.3 mm,"PVD (TI,AL)N",9.3,0.0,78.205,78.0,118.0,2.794,,2.0
UGT0301_209,Drilling Tool,Twist Drill 9.4 mm,"PVD (TI,AL)N",9.4,0.0,78.175,78.0,118.0,2.82404,,2.0
UGT0301_210,Drilling Tool,Twist Drill 9.6 mm,"PVD (TI,AL)N",9.6,0.0,84.115,84.0,118.0,2.88413,,2.0
UGT0301_212,Drilling Tool,Twist Drill 9.8 mm,"PVD (TI,AL)N",9.8,0.0,84.0,83.0,118.0,2.94422,,2.0
UGT0301_214,Drilling Tool,Twist Drill 10.1 mm,"PVD (TI,AL)N",10.1,0.0,83.965,82.0,118.0,3.03435,,2.0
UGT0301_215,Drilling Tool,Twist Drill 10.2 mm,"PVD (TI,AL)N",10.2,0.0,83.935,82.0,118.0,3.06439,,2.0
UGT0301_216,Drilling Tool,Twist Drill 10.3 mm,"PVD (TI,AL)N",10.3,0.0,83.905,82.0,118.0,3.09443,,2.0
UGT0301_217,Drilling Tool,Twist Drill 10.4 mm,"PVD (TI,AL)N",10.4,0.0,83.875,82.0,118.0,3.12447,,2.0
UGT0301_218,Drilling Tool,Twist Drill 10.6 mm,"PVD (TI,AL)N",10.6,0.0,86.05,86.0,118.0,3.18456,,2.0
UGT0301_219,Drilling Tool,Twist Drill 10.7 mm,"PVD (TI,AL)N",10.7,0.0,90.785,90.0,118.0,3.2146,,2.0
UGT0301_220,Drilling Tool,Twist Drill 10.8 mm,"PVD (TI,AL)N",10.8,0.0,92.823,92.0,118.0,3.24465,,2.0
UGT0301_221,Drilling Tool,Twist Drill 10.9 mm,"PVD (TI,AL)N",10.9,0.0,92.794,92.0,118.0,3.27469,,2.0
UGT0301_222,Drilling Tool,Twist Drill 11.1 mm,"PVD (TI,AL)N",11.1,0.0,92.2,92.0,118.0,3.33478,,2.0
UGT0301_223,Drilling Tool,Twist Drill 11.2 mm,"PVD (TI,AL)N",11.2,0.0,90.635,90.0,118.0,3.36482,,2.0
UGT0301_225,Drilling Tool,Twist Drill 11.4 mm,"PVD (TI,AL)N",11.4,0.0,92.112,92.0,118.0,3.42491,,2.0
UGT0301_226,Drilling Tool,Twist Drill 11.6 mm,"PVD (TI,AL)N",11.6,0.0,90.515,90.0,118.0,3.48499,,2.0
UGT0301_227,Drilling Tool,Twist Drill 11.7 mm,"PVD (TI,AL)N",11.7,0.0,90.484,90.0,118.0,3.51504,,2.0
UGT0301_228,Drilling Tool,Twist Drill 11.8 mm,"PVD (TI,AL)N",11.8,0.0,93.428,93.0,118.0,3.54508,,2.0
UGT0301_229,Drilling Tool,Twist Drill 11.9 mm,"PVD (TI,AL)N",11.9,0.0,100.191,100.0,118.0,3.57512,,2.0
UGT0301_230,Drilling Tool,Twist Drill 12.1 mm,"PVD (TI,AL)N",12.1,0.0,98.79,98.0,118.0,3.63521,,2.0
UGT0301_231,Drilling Tool,Twist Drill 12.2 mm,"PVD (TI,AL)N",12.2,0.0,97.334,97.0,118.0,3.66525,,2.0
UGT0301_232,Drilling Tool,Twist Drill 12.3 mm,"PVD (TI,AL)N",12.3,0.0,97.304,97.0,118.0,3.69529,,2.0
UGT0301_233,Drilling Tool,Twist Drill 12.4 mm,"PVD (TI,AL)N",12.4,0.0,98.707,98.0,118.0,3.72534,,2.0
UGT0301_236,Drilling Tool,Twist Drill 12.8 mm,"PVD (TI,AL)N",12.8,0.0,99.928,99.0,118.0,3.84551,,2.0
UGT0301_237,Drilling Tool,Twist Drill 12.9 mm,"PVD (TI,AL)N",12.9,0.0,97.124,97.0,118.0,3.87555,,2.0
UGT0301_240,Drilling Tool,Twist Drill 15.8 mm,"PVD (TI,AL)N",15.8,0.0,123.253,120.0,118.0,4.7468,,2.0
UGT0301_241,Drilling Tool,Twist Drill 15.9 mm,"PVD (TI,AL)N",15.9,0.0,124.357,120.0,118.0,4.77684,,2.0
UGT0301_242,Drilling Tool,Twist Drill 17.1 mm,"PVD (TI,AL)N",17.1,0.0,147.86,130.0,118.0,5.13736,,2.0
UGT0301_243,Drilling Tool,Twist Drill 17.2 mm,"PVD (TI,AL)N",17.2,0.0,147.83,130.0,118.0,5.1674,,2.0
UGT0301_244,Drilling Tool,Twist Drill 17.3 mm,"PVD (TI,AL)N",17.3,0.0,147.8,130.0,118.0,5.19744,,2.0
UGT0301_245,Drilling Tool,Twist Drill 17.4 mm,"PVD (TI,AL)N",17.4,0.0,147.77,130.0,118.0,5.22749,,2.0
UGT0301_246,Drilling Tool,Twist Drill 17.6 mm,"PVD (TI,AL)N",17.6,0.0,147.712,130.0,118.0,5.28757,,2.0
UGT0301_248,Drilling Tool,Twist Drill 17.8 mm,"PVD (TI,AL)N",17.8,0.0,147.65,130.0,118.0,5.34766,,2.0
UGT0301_249,Drilling Tool,Twist Drill 17.9 mm,"PVD (TI,AL)N",17.9,0.0,147.622,130.0,118.0,5.3777,,2.0
UGT0301_250,Drilling Tool,Twist Drill 18.1 mm,"PVD (TI,AL)N",18.1,0.0,152.562,135.0,118.0,5.43779,,2.0
UGT0301_251,Drilling Tool,Twist Drill 18.2 mm,"PVD (TI,AL)N",18.2,0.0,152.523,135.0,118.0,5.46783,,2.0
UGT0301_252,Drilling Tool,Twist Drill 18.3 mm,"PVD (TI,AL)N",18.3,0.0,152.502,135.0,118.0,5.49787,,2.0
UGT0301_253,Drilling Tool,Twist Drill 18.4 mm,"PVD (TI,AL)N",18.4,0.0,152.472,135.0,118.0,5.52792,,2.0
UGT0301_256,Drilling Tool,Twist Drill 18.8 mm,"PVD (TI,AL)N",18.8,0.0,152.351,135.0,118.0,5.64809,,2.0
UGT0301_257,Drilling Tool,Twist Drill 18.9 mm,"PVD (TI,AL)N",18.9,0.0,152.321,135.0,118.0,5.67813,,2.0
UGT0301_258,Drilling Tool,Twist Drill 19.1 mm,"PVD (TI,AL)N",19.1,0.0,157.261,140.0,118.0,5.73822,,2.0
UGT0301_259,Drilling Tool,Twist Drill 19.2 mm,"PVD (TI,AL)N",19.2,0.0,157.231,140.0,118.0,5.76826,,2.0
UGT0301_260,Drilling Tool,Twist Drill 19.3 mm,"PVD (TI,AL)N",19.3,0.0,157.201,140.0,118.0,5.79831,,2.0
UGT0301_261,Drilling Tool,Twist Drill 19.4 mm,"PVD (TI,AL)N",19.4,0.0,157.171,140.0,118.0,5.82835,,2.0
UGT0301_264,Drilling Tool,Twist Drill 19.8 mm,"PVD (TI,AL)N",19.8,0.0,157.051,140.0,118.0,5.94852,,2.0
UGT0301_265,Drilling Tool,Twist Drill 19.9 mm,"PVD (TI,AL)N",19.9,0.0,157.021,140.0,118.0,5.97856,,2.0
UGT0301_267,Drilling Tool,Twist Drill 13.3 mm,"PVD (TI,AL)N",13.3,0.0,123.0,108.0,118.0,3.99572,,2.0
UGT0301_268,Drilling Tool,Twist Drill 13.4 mm,"PVD (TI,AL)N",13.4,0.0,122.97,108.0,118.0,4.02577,,2.0
UGT0301_271,Drilling Tool,Twist Drill 13.8 mm,"PVD (TI,AL)N",13.8,0.0,122.854,108.0,118.0,4.14594,,2.0
UGT0301_272,Drilling Tool,Twist Drill 13.9 mm,"PVD (TI,AL)N",13.9,0.0,122.824,108.0,118.0,4.17598,,2.0
UGT0301_273,Drilling Tool,Twist Drill 14.1 mm,"PVD (TI,AL)N",14.1,0.0,145.763,114.0,118.0,4.23607,,2.0
UGT0301_275,Drilling Tool,Twist Drill 14.3 mm,"PVD (TI,AL)N",14.3,0.0,145.733,114.0,118.0,4.29615,,2.0
UGT0301_276,Drilling Tool,Twist Drill 14.4 mm,"PVD (TI,AL)N",14.4,0.0,145.673,114.0,118.0,4.3262,,2.0
UGT0301_279,Drilling Tool,Twist Drill 14.8 mm,"PVD (TI,AL)N",14.8,0.0,145.553,114.0,118.0,4.44637,,2.0
UGT0301_280,Drilling Tool,Twist Drill 14.9 mm,"PVD (TI,AL)N",14.9,0.0,145.523,114.0,118.0,4.47641,,2.0
UGT0301_281,Drilling Tool,Twist Drill 15.1 mm,"PVD (TI,AL)N",15.1,0.0,151.463,120.0,118.0,4.5365,,2.0
UGT0301_282,Drilling Tool,Twist Drill 15.2 mm,"PVD (TI,AL)N",15.2,0.0,151.433,120.0,118.0,4.56654,,2.0
UGT0301_283,Drilling Tool,Twist Drill 15.3 mm,"PVD (TI,AL)N",15.3,0.0,151.403,120.0,118.0,4.59658,,2.0
UGT0301_284,Drilling Tool,Twist Drill 15.4 mm,"PVD (TI,AL)N",15.4,0.0,151.373,120.0,118.0,4.62663,,2.0
UGT0301_285,Drilling Tool,Twist Drill 16.1 mm,"PVD (TI,AL)N",16.1,0.0,156.163,125.0,118.0,4.83693,,2.0
UGT0301_286,Drilling Tool,Twist Drill 16.2 mm,"PVD (TI,AL)N",16.2,0.0,156.133,125.0,118.0,4.86697,,2.0
UGT0301_287,Drilling Tool,Twist Drill 16.3 mm,"PVD (TI,AL)N",16.3,0.0,156.102,125.0,118.0,4.89701,,2.0
UGT0301_288,Drilling Tool,Twist Drill 16.4 mm,"PVD (TI,AL)N",16.4,0.0,156.072,125.0,118.0,4.92706,,2.0
UGT0301_291,Drilling Tool,Twist Drill 16.8 mm,"PVD (TI,AL)N",16.8,0.0,155.952,125.0,118.0,5.04723,,2.0
UGT0301_292,Drilling Tool,Twist Drill 16.9 mm,"PVD (TI,AL)N",16.9,0.0,155.922,120.0,118.0,5.07727,,2.0
UGT0301_352,Drilling Tool,Twist Drill 10.75 mm,"PVD (TI,AL)N",10.75,0.0,90.0,84.0,118.0,3.22963,,2.0
UGT0301_369,Drilling Tool,Twist Drill Flat Bottom 7.5 mm,"PVD (TI,AL)N",7.5,0.0,100.0,60.0,180.0,0.0,,2.0
UGT0301_373,Drilling Tool,Twist Drill Flat Bottom 12 mm,"PVD (TI,AL)N",12.0,0.0,120.0,101.0,180.0,0.0,,2.0
UGT0301_374,Drilling Tool,Twist Drill Flat Bottom 13 mm,"PVD (TI,AL)N",13.0,0.0,120.0,101.0,180.0,0.0,,2.0
UGT0301_375,Drilling Tool,Twist Drill Flat Bottom 15 mm,"PVD (TI,AL)N",15.0,0.0,143.0,120.0,180.0,0.0,,2.0
UGT0301_376,Drilling Tool,Twist Drill Flat Bottom 16.5 mm,"PVD (TI,AL)N",16.5,0.0,156.102,125.0,180.0,0.0,,2.0
UGT0301_377,Drilling Tool,Twist Drill Flat Bottom 19.5 mm,"PVD (TI,AL)N",19.5,0.0,163.0,140.0,180.0,0.0,,2.0
UGT0301_378,Drilling Tool,Twist Drill Flat Bottom 22.5 mm,"PVD (TI,AL)N",22.5,0.0,178.0,155.0,180.0,0.0,,2.0
UGT0301_379,Drilling Tool,Twist Drill Flat Bottom 25.5 mm,"PVD (TI,AL)N",25.5,0.0,184.26,165.0,180.0,0.0,,2.0
UGT0301_380,Drilling Tool,Twist Drill Flat Bottom 26.5 mm,"PVD (TI,AL)N",26.5,0.0,184.26,165.0,180.0,0.0,,2.0
UGT0301_381,Drilling Tool,Twist Drill Flat Bottom 30.5 mm,"PVD (TI,AL)N",30.5,0.0,200.97,175.0,180.0,0.0,,2.0
UGT0301_382,Drilling Tool,Twist Drill Flat Bottom 32.5 mm,"PVD (TI,AL)N",32.5,0.0,200.97,175.0,180.0,0.0,,2.0
UGT0301_383,Drilling Tool,Twist Drill Flat Bottom 33.5 mm,"PVD (TI,AL)N",33.5,0.0,200.97,175.0,180.0,0.0,,2.0
UGT0301_384,Drilling Tool,Twist Drill Flat Bottom 38.5 mm,"PVD (TI,AL)N",38.5,0.0,200.97,175.0,180.0,0.0,,2.0
UGT0301_386,Drilling Tool,Twist Drill 25.5 mm,"PVD (TI,AL)N",25.5,0.0,184.26,165.0,118.0,7.66097,,2.0
UGT0301_387,Drilling Tool,Twist Drill 26 mm,"PVD (TI,AL)N",26.0,0.0,184.26,165.0,118.0,7.81119,,2.0
UGT0301_388,Drilling Tool,Twist Drill 26.5 mm,"PVD (TI,AL)N",26.5,0.0,184.26,165.0,118.0,7.9614,,2.0
UGT0301_389,Drilling Tool,Twist Drill 27 mm,"PVD (TI,AL)N",27.0,0.0,184.26,165.0,118.0,8.11162,,2.0
UGT0301_390,Drilling Tool,Twist Drill 27.5 mm,"PVD (TI,AL)N",27.5,0.0,184.26,165.0,118.0,8.26183,,2.0
UGT0301_391,Drilling Tool,Twist Drill 28 mm,"PVD (TI,AL)N",28.0,0.0,184.26,165.0,118.0,8.41205,,2.0
UGT0301_392,Drilling Tool,Twist Drill 28.5 mm,"PVD (TI,AL)N",28.5,0.0,184.26,165.0,118.0,8.56226,,2.0
UGT0301_393,Drilling Tool,Twist Drill 29 mm,"PVD (TI,AL)N",29.0,0.0,184.26,165.0,118.0,8.71248,,2.0
UGT0301_394,Drilling Tool,Twist Drill 29.5 mm,"PVD (TI,AL)N",29.5,0.0,184.26,165.0,118.0,8.86269,,2.0
UGT0301_445,Drilling Tool,Carbide Drill 5.0 mm,"PVD (TI,AL)N",5.0,0.0,60.467,52.0,118.0,1.50215,,2.0
UGT0301_446,Drilling Tool,Carbide Drill 5.1 mm,"PVD (TI,AL)N",5.1,0.0,60.467,52.0,118.0,1.53219,,2.0
UGT0301_447,Drilling Tool,Carbide Drill 5.2 mm,"PVD (TI,AL)N",5.2,0.0,60.437,52.0,118.0,1.56224,,2.0
UGT0301_448,Drilling Tool,Carbide Drill 5.3 mm,"PVD (TI,AL)N",5.3,0.0,60.407,52.0,118.0,1.59228,,2.0
UGT0301_449,Drilling Tool,Carbide Drill 5.4 mm,"PVD (TI,AL)N",5.4,0.0,75.377,57.0,118.0,1.62232,,2.0
UGT0301_450,Drilling Tool,Carbide Drill 5.5 mm,"PVD (TI,AL)N",5.5,0.0,75.377,57.0,118.0,1.65237,,2.0
UGT0301_451,Drilling Tool,Carbide Drill 5.6 mm,"PVD (TI,AL)N",5.6,0.0,75.317,57.0,118.0,1.68241,,2.0
UGT0301_452,Drilling Tool,Carbide Drill 5.7 mm,"PVD (TI,AL)N",5.7,0.0,75.73,57.0,118.0,1.71245,,2.0
UGT0301_453,Drilling Tool,Carbide Drill 5.8 mm,"PVD (TI,AL)N",5.8,0.0,75.257,57.0,118.0,1.7425,,2.0
UGT0301_454,Drilling Tool,Carbide Drill 5.9 mm,"PVD (TI,AL)N",5.9,0.0,75.671,57.0,118.0,1.77254,,2.0
UGT0301_455,Drilling Tool,Carbide Drill 6.0 mm,"PVD (TI,AL)N",6.0,0.0,81.568,63.0,118.0,1.80258,,2.0
UGT0301_456,Drilling Tool,Carbide Drill 6.1 mm,"PVD (TI,AL)N",6.1,0.0,81.568,63.0,118.0,1.83262,,2.0
UGT0301_457,Drilling Tool,Carbide Drill 6.2 mm,"PVD (TI,AL)N",6.2,0.0,81.137,63.0,118.0,1.86267,,2.0
UGT0301_458,Drilling Tool,Carbide Drill 6.3 mm,"PVD (TI,AL)N",6.3,0.0,81.508,63.0,118.0,1.89271,,2.0
UGT0301_459,Drilling Tool,Carbide Drill 6.4 mm,"PVD (TI,AL)N",6.4,0.0,81.478,63.0,118.0,1.92275,,2.0
UGT0301_460,Drilling Tool,Carbide Drill 6.5 mm,"PVD (TI,AL)N",6.5,0.0,81.478,63.0,118.0,1.9528,,2.0
UGT0301_461,Drilling Tool,Carbide Drill 6.6 mm,"PVD (TI,AL)N",6.6,0.0,81.017,63.0,118.0,1.98284,,2.0
UGT0301_462,Drilling Tool,Carbide Drill 6.7 mm,"PVD (TI,AL)N",6.7,0.0,81.3,63.0,118.0,2.01288,,2.0
UGT0301_463,Drilling Tool,Carbide Drill 6.8 mm,"PVD (TI,AL)N",6.8,0.0,86.957,69.0,118.0,2.04293,,2.0
UGT0301_464,Drilling Tool,Carbide Drill 6.9 mm,"PVD (TI,AL)N",6.9,0.0,86.927,69.0,118.0,2.07297,,2.0
UGT0301_465,Drilling Tool,Carbide Drill 7.0 mm,"PVD (TI,AL)N",7.0,0.0,86.866,69.0,118.0,2.10301,,2.0
UGT0301_467,Drilling Tool,Carbide Drill 7.2 mm,"PVD (TI,AL)N",7.2,0.0,86.836,69.0,118.0,2.1631,,2.0
UGT0301_468,Drilling Tool,Carbide Drill 7.3 mm,"PVD (TI,AL)N",7.3,0.0,86.806,69.0,118.0,2.19314,,2.0
UGT0301_469,Drilling Tool,Carbide Drill 7.4 mm,"PVD (TI,AL)N",7.4,0.0,86.77,69.0,118.0,2.22318,,2.0
UGT0301_470,Drilling Tool,Carbide Drill 7.5 mm,"PVD (TI,AL)N",7.5,0.0,93.71,76.0,118.0,2.25323,,2.0
UGT0301_471,Drilling Tool,Carbide Drill 7.6 mm,"PVD (TI,AL)N",7.6,0.0,93.71,76.0,118.0,2.28327,,2.0
UGT0301_472,Drilling Tool,Carbide Drill 7.7 mm,"PVD (TI,AL)N",7.7,0.0,93.68,76.0,118.0,2.31331,,2.0
UGT0301_473,Drilling Tool,Carbide Drill 7.8 mm,"PVD (TI,AL)N",7.8,0.0,93.65,76.0,118.0,2.34336,,2.0
UGT0301_474,Drilling Tool,Carbide Drill 7.9 mm,"PVD (TI,AL)N",7.9,0.0,93.62,76.0,118.0,2.3734,,2.0
UGT0301_475,Drilling Tool,Carbide Drill 8.0 mm,"PVD (TI,AL)N",8.0,0.0,92.53,75.0,118.0,2.40344,,2.0
UGT0301_476,Drilling Tool,Carbide Drill 8.1 mm,"PVD (TI,AL)N",8.1,0.0,92.53,75.0,118.0,2.43349,,2.0
UGT0301_477,Drilling Tool,Carbide Drill 8.2 mm,"PVD (TI,AL)N",8.2,0.0,92.53,75.0,118.0,2.46353,,2.0
UGT0301_478,Drilling Tool,Carbide Drill 8.3 mm,"PVD (TI,AL)N",8.3,0.0,92.506,75.0,118.0,2.49357,,2.0
UGT0301_479,Drilling Tool,Carbide Drill 8.4 mm,"PVD (TI,AL)N",8.4,0.0,92.47,75.0,118.0,2.52361,,2.0
UGT0301_480,Drilling Tool,Carbide Drill 8.5 mm,"PVD (TI,AL)N",8.5,0.0,92.47,75.0,118.0,2.55366,,2.0
UGT0301_481,Drilling Tool,Carbide Drill 8.6 mm,"PVD (TI,AL)N",8.6,0.0,100.186,81.0,118.0,2.5837,,2.0
UGT0301_482,Drilling Tool,Carbide Drill 8.7 mm,"PVD (TI,AL)N",8.7,0.0,100.157,81.0,118.0,2.61374,,2.0
UGT0301_483,Drilling Tool,Carbide Drill 8.8 mm,"PVD (TI,AL)N",8.8,0.0,100.128,81.0,118.0,2.64379,,2.0
UGT0301_484,Drilling Tool,Carbide Drill 8.9 mm,"PVD (TI,AL)N",8.9,0.0,108.326,81.0,118.0,2.67383,,2.0
UGT0301_485,Drilling Tool,Carbide Drill 9.0 mm,"PVD (TI,AL)N",9.0,0.0,108.266,81.0,118.0,2.70387,,2.0
UGT0301_486,Drilling Tool,Carbide Drill 9.1 mm,"PVD (TI,AL)N",9.1,0.0,108.266,81.0,118.0,2.73392,,2.0
UGT0301_487,Drilling Tool,Carbide Drill 9.2 mm,"PVD (TI,AL)N",9.2,0.0,100.01,81.0,118.0,2.76396,,2.0
UGT0301_488,Drilling Tool,Carbide Drill 9.3 mm,"PVD (TI,AL)N",9.3,0.0,108.205,81.0,118.0,2.794,,2.0
UGT0301_489,Drilling Tool,Carbide Drill 9.4 mm,"PVD (TI,AL)N",9.4,0.0,108.175,81.0,118.0,2.82404,,2.0
UGT0301_490,Drilling Tool,Carbide Drill 9.5 mm,"PVD (TI,AL)N",9.5,0.0,108.175,81.0,118.0,2.85409,,2.0
UGT0301_491,Drilling Tool,Carbide Drill 9.6 mm,"PVD (TI,AL)N",9.6,0.0,100.115,87.0,118.0,2.88413,,2.0
UGT0301_492,Drilling Tool,Carbide Drill 9.7 mm,"PVD (TI,AL)N",9.7,0.0,100.643,87.0,118.0,2.91417,,2.0
UGT0301_493,Drilling Tool,Carbide Drill 9.8 mm,"PVD (TI,AL)N",9.8,0.0,100.0,87.0,118.0,2.94422,,2.0
