tool_name,tool_type,tool_diameter_mm,lower_radius_mm
UGT0201_015,Milling Tool-5 Parameters,10.000000000,0.000000000
UGT0201_018,Milling Tool-5 Parameters,30.000000000,0.000000000
UGT0201_019,Milling Tool-5 Parameters,40.000000000,0.000000000
UGT0201_020,Milling Tool-5 Parameters,50.000000000,0.000000000
UGT0201_021,Milling Tool-5 Parameters,50.000000000,6.000000000
UGT0201_084,Milling Tool-5 Parameters,6.000000000,1.000000000
UGT0201_086,Milling Tool-5 Parameters,8.000000000,2.000000000
UGT0201_089,Milling Tool-5 Parameters,10.000000000,3.000000000
UGT0201_092,Milling Tool-5 Parameters,12.000000000,1.000000000
UGT0201_094,Milling Tool-5 Parameters,20.000000000,0.000000000
UGT0201_095,Milling Tool-5 Parameters,20.000000000,3.000000000
UGT0201_099,Milling Tool-5 Parameters,5.000000000,0.000000000
UGT0201_100,Milling Tool-5 Parameters,18.000000000,0.000000000
UGT0201_101,Milling Tool-5 Parameters,10.000000000,0.000000000
UGT0201_102,Milling Tool-5 Parameters,12.000000000,0.000000000
UGT0201_103,Milling Tool-5 Parameters,14.000000000,0.000000000
UGT0201_104,Milling Tool-5 Parameters,20.000000000,0.000000000
UGT0201_105,Milling Tool-5 Parameters,22.000000000,0.000000000
UGT0201_106,Milling Tool-5 Parameters,24.000000000,0.000000000
UGT0201_107,Milling Tool-5 Parameters,25.000000000,0.000000000
UGT0201_108,Milling Tool-5 Parameters,12.700000000,0.000000000
UGT0201_109,Milling Tool-5 Parameters,25.400000000,0.000000000
UGT0201_118,Milling Tool-5 Parameters,3.000000000,0.000000000
UGT0201_120,Milling Tool-5 Parameters,4.000000000,0.000000000
UGT0201_122,Milling Tool-5 Parameters,5.000000000,0.000000000
UGT0201_123,Milling Tool-5 Parameters,5.900000000,0.000000000
UGT0201_124,Milling Tool-5 Parameters,6.000000000,0.000000000
UGT0201_125,Milling Tool-5 Parameters,7.900000000,0.000000000
UGT0201_126,Milling Tool-5 Parameters,8.000000000,0.000000000
UGT0201_127,Milling Tool-5 Parameters,9.900000000,0.000000000
UGT0201_128,Milling Tool-5 Parameters,10.000000000,0.000000000
UGT0201_129,Milling Tool-5 Parameters,11.900000000,0.000000000
UGT0201_130,Milling Tool-5 Parameters,12.000000000,0.000000000
UGT0201_131,Milling Tool-5 Parameters,13.900000000,0.000000000
UGT0201_132,Milling Tool-5 Parameters,14.000000000,0.000000000
UGT0201_133,Milling Tool-5 Parameters,15.000000000,0.000000000
UGT0201_134,Milling Tool-5 Parameters,15.900000000,0.000000000
UGT0201_135,Milling Tool-5 Parameters,19.900000000,0.000000000
UGT0201_136,Milling Tool-5 Parameters,20.000000000,0.000000000
UGT0205_001,Chamfer Mill,20.000000000,0.000000000
UGT0301_001,Drilling Tool,32.500000000,
UGT0301_006,Drilling Tool,16.000000000,
UGT0301_007,Drilling Tool,20.000000000,
UGT0301_025,Drilling Tool,6.000000000,
UGT0301_026,Drilling Tool,7.500000000,
UGT0301_028,Drilling Tool,8.000000000,
UGT0301_032,Drilling Tool,10.000000000,
UGT0301_041,Drilling Tool,15.000000000,
UGT0301_044,Drilling Tool,17.000000000,
UGT0301_046,Drilling Tool,18.000000000,
UGT0301_048,Drilling Tool,19.000000000,
UGT0301_050,Drilling Tool,20.500000000,
UGT0301_051,Drilling Tool,21.000000000,
UGT0301_052,Drilling Tool,21.500000000,
UGT0301_053,Drilling Tool,22.000000000,
UGT0301_054,Drilling Tool,22.500000000,
UGT0301_055,Drilling Tool,23.000000000,
UGT0301_056,Drilling Tool,23.500000000,
UGT0301_057,Drilling Tool,24.000000000,
UGT0301_058,Drilling Tool,24.500000000,
UGT0301_059,Drilling Tool,25.000000000,
UGT0301_175,Drilling Tool,5.100000000,
UGT0301_176,Drilling Tool,5.200000000,
UGT0301_177,Drilling Tool,5.300000000,
UGT0301_178,Drilling Tool,5.400000000,
UGT0301_179,Drilling Tool,5.600000000,
UGT0301_180,Drilling Tool,5.700000000,
UGT0301_181,Drilling Tool,5.800000000,
UGT0301_182,Drilling Tool,5.900000000,
UGT0301_183,Drilling Tool,6.100000000,
UGT0301_184,Drilling Tool,6.200000000,
UGT0301_185,Drilling Tool,6.300000000,
UGT0301_186,Drilling Tool,6.400000000,
UGT0301_187,Drilling Tool,6.600000000,
UGT0301_188,Drilling Tool,6.700000000,
UGT0301_189,Drilling Tool,6.800000000,
UGT0301_190,Drilling Tool,6.900000000,
UGT0301_191,Drilling Tool,7.100000000,
UGT0301_192,Drilling Tool,7.200000000,
UGT0301_193,Drilling Tool,7.300000000,
UGT0301_194,Drilling Tool,7.400000000,
UGT0301_195,Drilling Tool,7.600000000,
UGT0301_196,Drilling Tool,7.700000000,
UGT0301_197,Drilling Tool,7.800000000,
UGT0301_198,Drilling Tool,7.900000000,
UGT0301_199,Drilling Tool,8.200000000,
UGT0301_200,Drilling Tool,8.300000000,
UGT0301_201,Drilling Tool,8.400000000,
UGT0301_202,Drilling Tool,8.600000000,
UGT0301_203,Drilling Tool,8.700000000,
UGT0301_204,Drilling Tool,8.800000000,
UGT0301_205,Drilling Tool,8.900000000,
UGT0301_206,Drilling Tool,9.100000000,
UGT0301_207,Drilling Tool,9.200000000,
UGT0301_208,Drilling Tool,9.300000000,
UGT0301_209,Drilling Tool,9.400000000,
UGT0301_210,Drilling Tool,9.600000000,
UGT0301_212,Drilling Tool,9.800000000,
UGT0301_214,Drilling Tool,10.100000000,
UGT0301_215,Drilling Tool,10.200000000,
UGT0301_216,Drilling Tool,10.300000000,
UGT0301_217,Drilling Tool,10.400000000,
UGT0301_218,Drilling Tool,10.600000000,
UGT0301_219,Drilling Tool,10.700000000,
UGT0301_220,Drilling Tool,10.800000000,
UGT0301_221,Drilling Tool,10.900000000,
UGT0301_222,Drilling Tool,11.100000000,
UGT0301_223,Drilling Tool,11.200000000,
UGT0301_225,Drilling Tool,11.400000000,
UGT0301_226,Drilling Tool,11.600000000,
UGT0301_227,Drilling Tool,11.700000000,
UGT0301_228,Drilling Tool,11.800000000,
UGT0301_229,Drilling Tool,11.900000000,
UGT0301_230,Drilling Tool,12.100000000,
UGT0301_231,Drilling Tool,12.200000000,
UGT0301_232,Drilling Tool,12.300000000,
UGT0301_233,Drilling Tool,12.400000000,
UGT0301_236,Drilling Tool,12.800000000,
UGT0301_237,Drilling Tool,12.900000000,
UGT0301_240,Drilling Tool,15.800000000,
UGT0301_241,Drilling Tool,15.900000000,
UGT0301_242,Drilling Tool,17.100000000,
UGT0301_243,Drilling Tool,17.200000000,
UGT0301_244,Drilling Tool,17.300000000,
UGT0301_245,Drilling Tool,17.400000000,
UGT0301_246,Drilling Tool,17.600000000,
UGT0301_248,Drilling Tool,17.800000000,
UGT0301_249,Drilling Tool,17.900000000,
UGT0301_250,Drilling Tool,18.100000000,
UGT0301_251,Drilling Tool,18.200000000,
UGT0301_252,Drilling Tool,18.300000000,
UGT0301_253,Drilling Tool,18.400000000,
UGT0301_256,Drilling Tool,18.800000000,
UGT0301_257,Drilling Tool,18.900000000,
UGT0301_258,Drilling Tool,19.100000000,
UGT0301_259,Drilling Tool,19.200000000,
UGT0301_260,Drilling Tool,19.300000000,
UGT0301_261,Drilling Tool,19.400000000,
UGT0301_264,Drilling Tool,19.800000000,
UGT0301_265,Drilling Tool,19.900000000,
UGT0301_267,Drilling Tool,13.300000000,
UGT0301_268,Drilling Tool,13.400000000,
UGT0301_271,Drilling Tool,13.800000000,
UGT0301_272,Drilling Tool,13.900000000,
UGT0301_273,Drilling Tool,14.100000000,
UGT0301_275,Drilling Tool,14.300000000,
UGT0301_276,Drilling Tool,14.400000000,
UGT0301_279,Drilling Tool,14.800000000,
UGT0301_280,Drilling Tool,14.900000000,
UGT0301_281,Drilling Tool,15.100000000,
UGT0301_282,Drilling Tool,15.200000000,
UGT0301_283,Drilling Tool,15.300000000,
UGT0301_284,Drilling Tool,15.400000000,
UGT0301_285,Drilling Tool,16.100000000,
UGT0301_286,Drilling Tool,16.200000000,
UGT0301_287,Drilling Tool,16.300000000,
UGT0301_288,Drilling Tool,16.400000000,
UGT0301_291,Drilling Tool,16.800000000,
UGT0301_292,Drilling Tool,16.900000000,
UGT0301_352,Drilling Tool,10.750000000,
UGT0301_369,Drilling Tool,7.500000000,
UGT0301_373,Drilling Tool,12.000000000,
UGT0301_374,Drilling Tool,13.000000000,
UGT0301_375,Drilling Tool,15.000000000,
UGT0301_376,Drilling Tool,16.500000000,
UGT0301_377,Drilling Tool,19.500000000,
UGT0301_378,Drilling Tool,22.500000000,
UGT0301_379,Drilling Tool,25.500000000,
UGT0301_380,Drilling Tool,26.500000000,
UGT0301_381,Drilling Tool,30.500000000,
UGT0301_382,Drilling Tool,32.500000000,
UGT0301_383,Drilling Tool,33.500000000,
UGT0301_384,Drilling Tool,38.500000000,
UGT0301_386,Drilling Tool,25.500000000,
UGT0301_387,Drilling Tool,26.000000000,
UGT0301_388,Drilling Tool,26.500000000,
UGT0301_389,Drilling Tool,27.000000000,
UGT0301_390,Drilling Tool,27.500000000,
UGT0301_391,Drilling Tool,28.000000000,
UGT0301_392,Drilling Tool,28.500000000,
UGT0301_393,Drilling Tool,29.000000000,
UGT0301_394,Drilling Tool,29.500000000,
UGT0301_445,Drilling Tool,5.000000000,
UGT0301_446,Drilling Tool,5.100000000,
UGT0301_447,Drilling Tool,5.200000000,
UGT0301_448,Drilling Tool,5.300000000,
UGT0301_449,Drilling Tool,5.400000000,
UGT0301_450,Drilling Tool,5.500000000,
UGT0301_451,Drilling Tool,5.600000000,
UGT0301_452,Drilling Tool,5.700000000,
UGT0301_453,Drilling Tool,5.800000000,
UGT0301_454,Drilling Tool,5.900000000,
UGT0301_455,Drilling Tool,6.000000000,
UGT0301_456,Drilling Tool,6.100000000,
UGT0301_457,Drilling Tool,6.200000000,
UGT0301_458,Drilling Tool,6.300000000,
UGT0301_459,Drilling Tool,6.400000000,
UGT0301_460,Drilling Tool,6.500000000,
UGT0301_461,Drilling Tool,6.600000000,
UGT0301_462,Drilling Tool,6.700000000,
UGT0301_463,Drilling Tool,6.800000000,
UGT0301_464,Drilling Tool,6.900000000,
UGT0301_465,Drilling Tool,7.000000000,
UGT0301_467,Drilling Tool,7.200000000,
UGT0301_468,Drilling Tool,7.300000000,
UGT0301_469,Drilling Tool,7.400000000,
UGT0301_470,Drilling Tool,7.500000000,
UGT0301_471,Drilling Tool,7.600000000,
UGT0301_472,Drilling Tool,7.700000000,
UGT0301_473,Drilling Tool,7.800000000,
UGT0301_474,Drilling Tool,7.900000000,
UGT0301_475,Drilling Tool,8.000000000,
UGT0301_476,Drilling Tool,8.100000000,
UGT0301_477,Drilling Tool,8.200000000,
UGT0301_478,Drilling Tool,8.300000000,
UGT0301_479,Drilling Tool,8.400000000,
UGT0301_480,Drilling Tool,8.500000000,
UGT0301_481,Drilling Tool,8.600000000,
UGT0301_482,Drilling Tool,8.700000000,
UGT0301_483,Drilling Tool,8.800000000,
UGT0301_484,Drilling Tool,8.900000000,
UGT0301_485,Drilling Tool,9.000000000,
UGT0301_486,Drilling Tool,9.100000000,
UGT0301_487,Drilling Tool,9.200000000,
UGT0301_488,Drilling Tool,9.300000000,
UGT0301_489,Drilling Tool,9.400000000,
UGT0301_490,Drilling Tool,9.500000000,
UGT0301_491,Drilling Tool,9.600000000,
UGT0301_492,Drilling Tool,9.700000000,
UGT0301_493,Drilling Tool,9.800000000,
UGT0301_494,Drilling Tool,9.900000000,
UGT0301_495,Drilling Tool,10.000000000,
UGT0301_496,Drilling Tool,10.100000000,
UGT0301_497,Drilling Tool,10.200000000,
UGT0301_498,Drilling Tool,10.300000000,
UGT0301_499,Drilling Tool,10.400000000,
UGT0301_500,Drilling Tool,10.500000000,
UGT0301_501,Drilling Tool,10.600000000,
UGT0301_502,Drilling Tool,10.700000000,
UGT0301_503,Drilling Tool,10.800000000,
UGT0301_504,Drilling Tool,10.900000000,
UGT0301_505,Drilling Tool,11.000000000,
UGT0301_506,Drilling Tool,11.100000000,
UGT0301_507,Drilling Tool,11.200000000,
UGT0301_508,Drilling Tool,11.300000000,
UGT0301_509,Drilling Tool,11.400000000,
UGT0301_510,Drilling Tool,11.500000000,
UGT0301_511,Drilling Tool,11.600000000,
UGT0301_512,Drilling Tool,11.700000000,
UGT0301_513,Drilling Tool,11.800000000,
UGT0301_514,Drilling Tool,11.900000000,
UGT0301_515,Drilling Tool,12.000000000,
UGT0301_516,Drilling Tool,12.100000000,
UGT0301_518,Drilling Tool,12.300000000,
UGT0301_519,Drilling Tool,12.400000000,
UGT0301_522,Drilling Tool,12.700000000,
UGT0302_001,Drilling Tool,15.000000000,
UGT0302_002,Drilling Tool,23.000000000,
UGT0302_003,Drilling Tool,24.000000000,
UGT0302_004,Drilling Tool,25.000000000,
UGT0302_005,Drilling Tool,26.000000000,
UGT0302_006,Drilling Tool,27.000000000,
UGT0302_007,Drilling Tool,28.000000000,
UGT0302_008,Drilling Tool,29.000000000,
UGT0302_009,Drilling Tool,30.000000000,
UGT0306_003,Drilling Tool,12.500000000,
UGT0306_004,Drilling Tool,13.500000000,
UGT0306_005,Drilling Tool,14.500000000,
UGT0306_006,Drilling Tool,15.500000000,
UGT0306_007,Drilling Tool,16.500000000,
UGT0306_008,Drilling Tool,17.500000000,
UGT0306_009,Drilling Tool,18.500000000,
UGT0306_010,Drilling Tool,19.500000000,
UGT0307_001,Drilling Tool,5.000000000,
UGT0307_002,Drilling Tool,6.000000000,
UGT0307_003,Drilling Tool,7.000000000,
UGT0307_004,Drilling Tool,8.000000000,
UGT0307_005,Drilling Tool,8.300000000,
UGT0307_006,Drilling Tool,9.000000000,
UGT0307_007,Drilling Tool,10.000000000,
UGT0307_008,Drilling Tool,11.000000000,
UGT0307_009,Drilling Tool,12.000000000,
UGT0307_010,Drilling Tool,14.000000000,
UGT0307_011,Drilling Tool,14.300000000,
UGT0307_012,Drilling Tool,15.000000000,
UGT0307_013,Drilling Tool,16.000000000,
UGT0307_014,Drilling Tool,17.500000000,
UGT0307_015,Drilling Tool,20.000000000,
UGT0307_016,Drilling Tool,22.000000000,
UGT0332_045,Boring Tool,17.980000000,
UGT0332_050,Boring Tool,27.980000000,
UGT0332_055,Boring Tool,41.980000000,
UGT0332_064,Boring Tool,14.000000000,
UGT0332_065,Boring Tool,16.000000000,
UGT0332_066,Boring Tool,20.000000000,
UGT0332_067,Boring Tool,25.000000000,
UGT0332_069,Boring Tool,40.000000000,
UGT0332_070,Boring Tool,50.000000000,
UGT0332_073,Boring Tool,13.800000000,
UGT0332_074,Boring Tool,15.800000000,
UGT0332_075,Boring Tool,17.750000000,
UGT0332_076,Boring Tool,19.750000000,
